name,hale
Australia,5.47328881
Austria,1.13647504
Belgium,2.324544222
Canada,8.92828571
Chile,0.67909865
Colombia,1.050635559
Costa Rica,0.088694906
Czech Republic,2.47128235
Denmark,1.222934748
Estonia,0.371743278
Finland,1.148891116
France,7.253160272
Germany,17.58109514
Greece,1.609308608
Hungary,1.15180545
Iceland,0.04186161
Ireland,0.64752399
Italy,7.928974726
Japan,22.86648161
Korea,6.652975714
Latvia,0.191401474
Lithuania,0.291991033
Luxembourg,0.213242857
Mexico,6.72515755
Netherlands,3.197957747
New Zealand,0.518172692
Norway,0.688421425
Poland,6.713321061
Portugal,0.934022846
Slovak Republic,0.813784972
Slovenia,0.270907828
Spain,4.701485131
Sweden,1.116861773
Switzerland,0.793452302
Türkiye,3.121850424
United Kingdom,10.72802752
United States,100.000003
Bangladesh,0.304904296
Belarus,1.263479845
Brazil,4.565601793
Bulgaria,1.048864178
China,57.29428794
Croatia,0.297262487
Cyprus,0.109753317
India,14.52681671
Indonesia,3.524161311
Iran,5.789169816
Kazakhstan,3.259202207
Liechtenstein,0.00180792
Malta,0.047616083
Monaco,0
Peru,0.569567548
Romania,2.251987118
Russia,30.71414467
South Africa,5.888195296
Ukraine,7.818312602
#REF!,
